year (AD) [1-1],age (yr BP) [1-1],d18O (permil) [1-1],depth (unitless) [1-2],age (yr BP) [1-2],d13C (permil) [1-2],d18O (permil) [1-2]
-53150,55100,-13.18,182.35,12146.21227,-1.8364,-12.19625
-53200,55150,-13.39,182.45,12194.62691,-1.8318,-11.8892
-53250,55200,-13.61,182.55,12243.04156,-2.0204,-12.25425
-53300,55250,-13.44,182.65,12291.4562,-1.8984,-12.31725
-53350,55300,-13.15,182.75,12339.87085,-1.8334,-12.26025
-53400,55350,-12.88,182.85,12388.2855,-1.9304,-12.28025
-53450,55400,-12.95,182.95,12436.70014,-1.8914,-12.35325
-53500,55450,-13.02,183.05,12485.11479,-1.9444,-12.34025
-53550,55500,-13.04,183.15,12533.52943,-1.9004,-12.36725
-53600,55550,-12.99,183.25,12581.94408,-1.9674,-12.08925
-53650,55600,-12.95,183.35,12630.35872,-2.1154,-12.26625
-53700,55650,-13.01,183.45,12678.77337,-2.0034,-11.90525
-53750,55700,-13.1,183.55,12727.18801,-1.9904,-11.91725
-53800,55750,-13.13,183.65,12775.60266,-1.8694,-12.07825
-53850,55800,-12.84,183.75,12824.0173,-2.0364,-12.13825
-53900,55850,-12.55,183.85,12872.43195,-1.8594,-12.07625
-53950,55900,-12.44,183.95,12920.84659,-1.7584,-12.27725
-54000,55950,-12.5,184.05,12969.26124,-1.6624,-12.20625
-54050,56000,-12.57,184.15,13017.67588,-1.5614,-12.20325
-54100,56050,-12.6,184.25,13066.09053,-1.0714,-12.01525
-54150,56100,-12.62,184.35,13114.50517,-1.1064,-11.79225
-54200,56150,-12.65,184.45,13162.91982,-1.4494,-11.75425
-54250,56200,-12.69,184.55,13211.33446,-1.2924,-11.51225
-54300,56250,-12.74,184.65,13259.74911,-1.3294,-11.46425
-54350,56300,-12.78,184.75,13308.16375,-1.7244,-11.47825
-54400,56350,-12.83,NA,NA,NA,NA
-54450,56400,-12.87,NA,NA,NA,NA
-54500,56450,-12.97,NA,NA,NA,NA
-54550,56500,-13.06,NA,NA,NA,NA
-54600,56550,-13.07,NA,NA,NA,NA
-54650,56600,-12.82,NA,NA,NA,NA
-54700,56650,-12.57,NA,NA,NA,NA
-54750,56700,-12.54,NA,NA,NA,NA
-54800,56750,-12.63,NA,NA,NA,NA
-54850,56800,-12.71,NA,NA,NA,NA
-54900,56850,-12.82,NA,NA,NA,NA
-54950,56900,-12.92,NA,NA,NA,NA
-55000,56950,-13.06,NA,NA,NA,NA
-55050,57000,-13.25,NA,NA,NA,NA
-55100,57050,-13.44,NA,NA,NA,NA
-55150,57100,-13.53,NA,NA,NA,NA
-55200,57150,-13.56,NA,NA,NA,NA
-55250,57200,-13.6,NA,NA,NA,NA
-55300,57250,-13.61,NA,NA,NA,NA
-55350,57300,-13.62,NA,NA,NA,NA
-55400,57350,-13.65,NA,NA,NA,NA
-55450,57400,-13.71,NA,NA,NA,NA
-55500,57450,-13.77,NA,NA,NA,NA
-55550,57500,-13.77,NA,NA,NA,NA
-55600,57550,-13.75,NA,NA,NA,NA
-55650,57600,-13.73,NA,NA,NA,NA
-55700,57650,-13.65,NA,NA,NA,NA
-55750,57700,-13.57,NA,NA,NA,NA
-55800,57750,-13.53,NA,NA,NA,NA
-55850,57800,-13.56,NA,NA,NA,NA
-55900,57850,-13.58,NA,NA,NA,NA
-55950,57900,-13.44,NA,NA,NA,NA
-56000,57950,-13.26,NA,NA,NA,NA
-56050,58000,-13.1,NA,NA,NA,NA
-56100,58050,-13.03,NA,NA,NA,NA
-56150,58100,-12.96,NA,NA,NA,NA
-56200,58150,-12.96,NA,NA,NA,NA
-56250,58200,-13.04,NA,NA,NA,NA
-56300,58250,-13.11,NA,NA,NA,NA
-56350,58300,-13.27,NA,NA,NA,NA
-56400,58350,-13.2,NA,NA,NA,NA
-56450,58400,-12.92,NA,NA,NA,NA
-56500,58450,-12.51,NA,NA,NA,NA
-56550,58500,-12.73,NA,NA,NA,NA
-56600,58550,-12.57,NA,NA,NA,NA
-56650,58600,-12.9,NA,NA,NA,NA
-56700,58650,-13.65,NA,NA,NA,NA
-56750,58700,-13.64,NA,NA,NA,NA
-56800,58750,-13.63,NA,NA,NA,NA
-56850,58800,-13.77,NA,NA,NA,NA
-56900,58850,-12.93,NA,NA,NA,NA
-56950,58900,-13.13,NA,NA,NA,NA
-57000,58950,-12.94,NA,NA,NA,NA
-57050,59000,-13.09,NA,NA,NA,NA
-57100,59050,-12.78,NA,NA,NA,NA
-57150,59100,-12.76,NA,NA,NA,NA
-57200,59150,-12.53,NA,NA,NA,NA
-57250,59200,-12.67,NA,NA,NA,NA
-57300,59250,-12.75,NA,NA,NA,NA
-57350,59300,-12.73,NA,NA,NA,NA
-57400,59350,-12.74,NA,NA,NA,NA
-57450,59400,-12.89,NA,NA,NA,NA
-57500,59450,-12.52,NA,NA,NA,NA
-57550,59500,-12.42,NA,NA,NA,NA
-57600,59550,-12.93,NA,NA,NA,NA
-57650,59600,-12.83,NA,NA,NA,NA
-57700,59650,-12.53,NA,NA,NA,NA
-57750,59700,-12.84,NA,NA,NA,NA
-57800,59750,-12.88,NA,NA,NA,NA
-57850,59800,-13.41,NA,NA,NA,NA
-57900,59850,-13.17,NA,NA,NA,NA
-57950,59900,-12.94,NA,NA,NA,NA
-58000,59950,-12.36,NA,NA,NA,NA
-58050,60000,-12.44,NA,NA,NA,NA
-58100,60050,-12.08,NA,NA,NA,NA
-58150,60100,-12.29,NA,NA,NA,NA
-58200,60150,-12.01,NA,NA,NA,NA
-62950,64900,NA,NA,NA,NA,NA
-67700,69650,-12.69,NA,NA,NA,NA
-67750,69700,-12.71,NA,NA,NA,NA
-67800,69750,-12.72,NA,NA,NA,NA
-67850,69800,-12.74,NA,NA,NA,NA
-67900,69850,-12.75,NA,NA,NA,NA
-67950,69900,-12.76,NA,NA,NA,NA
-68000,69950,-12.78,NA,NA,NA,NA
-68050,70000,-12.79,NA,NA,NA,NA
-68100,70050,-12.81,NA,NA,NA,NA
-68150,70100,-12.82,NA,NA,NA,NA
-68200,70150,-12.82,NA,NA,NA,NA
-68250,70200,-12.81,NA,NA,NA,NA
-68300,70250,-12.81,NA,NA,NA,NA
-68350,70300,-12.81,NA,NA,NA,NA
-68400,70350,-12.81,NA,NA,NA,NA
-68450,70400,-12.81,NA,NA,NA,NA
-68500,70450,-12.81,NA,NA,NA,NA
-68550,70500,-12.81,NA,NA,NA,NA
-68600,70550,-12.8,NA,NA,NA,NA
-68650,70600,-12.81,NA,NA,NA,NA
-68700,70650,-12.81,NA,NA,NA,NA
-68750,70700,-12.81,NA,NA,NA,NA
-68800,70750,-12.81,NA,NA,NA,NA
-68850,70800,-12.81,NA,NA,NA,NA
-68900,70850,-12.82,NA,NA,NA,NA
-68950,70900,-12.82,NA,NA,NA,NA
-69000,70950,-12.82,NA,NA,NA,NA
-69050,71000,-12.82,NA,NA,NA,NA
-69100,71050,-12.81,NA,NA,NA,NA
-69150,71100,-12.78,NA,NA,NA,NA
-69200,71150,-12.75,NA,NA,NA,NA
-69250,71200,-12.73,NA,NA,NA,NA
-69300,71250,-12.7,NA,NA,NA,NA
-69350,71300,-12.68,NA,NA,NA,NA
-69400,71350,-12.65,NA,NA,NA,NA
-69450,71400,-12.62,NA,NA,NA,NA
-69500,71450,-12.6,NA,NA,NA,NA
-69550,71500,-12.59,NA,NA,NA,NA
-69600,71550,-12.62,NA,NA,NA,NA
-69650,71600,-12.65,NA,NA,NA,NA
-69700,71650,-12.68,NA,NA,NA,NA
-69750,71700,-12.71,NA,NA,NA,NA
-69800,71750,-12.74,NA,NA,NA,NA
-69850,71800,-12.77,NA,NA,NA,NA
-69900,71850,-12.8,NA,NA,NA,NA
-69950,71900,-12.83,NA,NA,NA,NA
-70000,71950,-12.86,NA,NA,NA,NA
-70050,72000,-12.88,NA,NA,NA,NA
-70100,72050,-12.89,NA,NA,NA,NA
-70150,72100,-12.9,NA,NA,NA,NA
-70200,72150,-12.92,NA,NA,NA,NA
-70250,72200,-12.93,NA,NA,NA,NA
-70300,72250,-12.94,NA,NA,NA,NA
-70350,72300,-12.96,NA,NA,NA,NA
-70400,72350,-12.97,NA,NA,NA,NA
-70450,72400,-12.98,NA,NA,NA,NA
-70500,72450,-12.97,NA,NA,NA,NA
-70550,72500,-12.93,NA,NA,NA,NA
-70600,72550,-12.89,NA,NA,NA,NA
-70650,72600,-12.85,NA,NA,NA,NA
-70700,72650,-12.81,NA,NA,NA,NA
-70750,72700,-12.77,NA,NA,NA,NA
-70800,72750,-12.73,NA,NA,NA,NA
-70850,72800,-12.69,NA,NA,NA,NA
-70900,72850,-12.65,NA,NA,NA,NA
-70950,72900,-12.61,NA,NA,NA,NA
-71000,72950,-12.58,NA,NA,NA,NA
-71050,73000,-12.56,NA,NA,NA,NA
-71100,73050,-12.53,NA,NA,NA,NA
-71150,73100,-12.5,NA,NA,NA,NA
-71200,73150,-12.47,NA,NA,NA,NA
-71250,73200,-12.44,NA,NA,NA,NA
-71300,73250,-12.41,NA,NA,NA,NA
-71350,73300,-12.39,NA,NA,NA,NA
-71400,73350,-12.36,NA,NA,NA,NA
-71450,73400,-12.39,NA,NA,NA,NA
-71500,73450,-12.42,NA,NA,NA,NA
-71550,73500,-12.45,NA,NA,NA,NA
-71600,73550,-12.48,NA,NA,NA,NA
-71650,73600,-12.51,NA,NA,NA,NA
-71700,73650,-12.54,NA,NA,NA,NA
-71750,73700,-12.57,NA,NA,NA,NA
-71800,73750,-12.6,NA,NA,NA,NA
-71850,73800,-12.63,NA,NA,NA,NA
-71900,73850,-12.66,NA,NA,NA,NA
-71950,73900,-12.69,NA,NA,NA,NA
-72000,73950,-12.72,NA,NA,NA,NA
-72050,74000,-12.75,NA,NA,NA,NA
-72100,74050,-12.79,NA,NA,NA,NA
-72150,74100,-12.82,NA,NA,NA,NA
-72200,74150,-12.86,NA,NA,NA,NA
-72250,74200,-12.89,NA,NA,NA,NA
-72300,74250,-12.93,NA,NA,NA,NA
-72350,74300,-13.01,NA,NA,NA,NA
-72400,74350,-13.12,NA,NA,NA,NA
-72450,74400,-12.62,NA,NA,NA,NA
-72500,74450,-12.64,NA,NA,NA,NA
-72550,74500,-12.84,NA,NA,NA,NA
-72600,74550,-13.01,NA,NA,NA,NA
-72650,74600,-12.95,NA,NA,NA,NA
-72700,74650,-12.48,NA,NA,NA,NA
-72750,74700,-12.36,NA,NA,NA,NA
-72800,74750,-12.32,NA,NA,NA,NA
-72850,74800,-12.19,NA,NA,NA,NA
-72900,74850,-11.99,NA,NA,NA,NA
-72950,74900,-12.01,NA,NA,NA,NA
-73000,74950,-12.02,NA,NA,NA,NA
-73050,75000,-12.05,NA,NA,NA,NA
-73100,75050,-12.13,NA,NA,NA,NA
-73150,75100,-12.27,NA,NA,NA,NA
-73200,75150,-12.26,NA,NA,NA,NA
-73250,75200,-12.4,NA,NA,NA,NA
-73300,75250,-12.62,NA,NA,NA,NA
-73350,75300,-12.69,NA,NA,NA,NA
-73400,75350,-12.29,NA,NA,NA,NA
-73450,75400,-12.27,NA,NA,NA,NA
-73500,75450,-12.39,NA,NA,NA,NA
-73550,75500,-12.5,NA,NA,NA,NA
-73600,75550,-12.53,NA,NA,NA,NA
-73650,75600,-12.5,NA,NA,NA,NA
-73700,75650,-12.49,NA,NA,NA,NA
-73750,75700,-12.5,NA,NA,NA,NA
-73800,75750,-12.46,NA,NA,NA,NA
-73850,75800,-12.15,NA,NA,NA,NA
-73900,75850,-11.93,NA,NA,NA,NA
-73950,75900,-11.97,NA,NA,NA,NA
-74000,75950,-12.09,NA,NA,NA,NA
-74050,76000,-12.15,NA,NA,NA,NA
-74100,76050,-12.69,NA,NA,NA,NA
-74150,76100,-12.3,NA,NA,NA,NA
-74200,76150,-12.05,NA,NA,NA,NA
-74250,76200,-12.22,NA,NA,NA,NA
-74300,76250,-12.63,NA,NA,NA,NA
-74350,76300,-12.84,NA,NA,NA,NA
-74400,76350,-12.73,NA,NA,NA,NA
-74450,76400,-12.5,NA,NA,NA,NA
-74500,76450,-12.28,NA,NA,NA,NA
-74550,76500,-12.13,NA,NA,NA,NA
-74600,76550,-12.44,NA,NA,NA,NA
-74650,76600,-12.34,NA,NA,NA,NA
-74700,76650,-12.17,NA,NA,NA,NA
-74750,76700,-12.29,NA,NA,NA,NA
-74800,76750,-12.32,NA,NA,NA,NA
-74850,76800,-12.62,NA,NA,NA,NA
-74900,76850,-12.94,NA,NA,NA,NA
-74950,76900,-13.05,NA,NA,NA,NA
-75000,76950,-12.75,NA,NA,NA,NA
-75050,77000,-12.66,NA,NA,NA,NA
-75100,77050,-12.65,NA,NA,NA,NA
-75150,77100,-12.62,NA,NA,NA,NA
-75200,77150,-12.52,NA,NA,NA,NA
-75250,77200,-12.37,NA,NA,NA,NA
-75300,77250,-12.7,NA,NA,NA,NA
-75350,77300,-12.76,NA,NA,NA,NA
-75400,77350,-12.67,NA,NA,NA,NA
-75450,77400,-12.4,NA,NA,NA,NA
-75500,77450,-12.31,NA,NA,NA,NA
-75550,77500,-12.06,NA,NA,NA,NA
-75600,77550,-11.98,NA,NA,NA,NA
-75650,77600,-12.18,NA,NA,NA,NA
-75700,77650,-12.22,NA,NA,NA,NA
-75750,77700,-12.03,NA,NA,NA,NA
-75800,77750,-11.78,NA,NA,NA,NA
-75850,77800,-12.04,NA,NA,NA,NA
-75900,77850,-12.4,NA,NA,NA,NA
-75950,77900,-13.14,NA,NA,NA,NA
-76000,77950,-12.5,NA,NA,NA,NA
-76050,78000,-12.49,NA,NA,NA,NA
-76100,78050,-11.88,NA,NA,NA,NA
-76150,78100,-12.87,NA,NA,NA,NA
-76200,78150,-12.84,NA,NA,NA,NA
-76250,78200,-12.62,NA,NA,NA,NA
-76300,78250,-12.33,NA,NA,NA,NA
-76350,78300,-12.55,NA,NA,NA,NA
-76400,78350,-12.73,NA,NA,NA,NA
-76450,78400,-12.37,NA,NA,NA,NA
-76500,78450,-12.32,NA,NA,NA,NA
-76550,78500,-12.15,NA,NA,NA,NA
-76600,78550,-12.28,NA,NA,NA,NA
-76650,78600,-12.12,NA,NA,NA,NA
-76700,78650,-12.09,NA,NA,NA,NA
-76750,78700,-11.91,NA,NA,NA,NA
-76800,78750,-11.11,NA,NA,NA,NA
-76850,78800,-11.73,NA,NA,NA,NA
-76900,78850,-11.79,NA,NA,NA,NA
-76950,78900,-11.8,NA,NA,NA,NA
-77000,78950,-11.65,NA,NA,NA,NA
-77050,79000,-12.11,NA,NA,NA,NA
-77100,79050,-11.97,NA,NA,NA,NA
-77150,79100,-11.92,NA,NA,NA,NA
-77200,79150,-11.8,NA,NA,NA,NA
-77250,79200,-11.71,NA,NA,NA,NA
-77300,79250,-11.6,NA,NA,NA,NA
-77350,79300,-12.1,NA,NA,NA,NA
-77400,79350,-12.08,NA,NA,NA,NA
-77450,79400,-11.66,NA,NA,NA,NA
-77500,79450,-11.34,NA,NA,NA,NA
-77550,79500,-11.13,NA,NA,NA,NA
-77600,79550,-11.24,NA,NA,NA,NA
-77650,79600,-10.7,NA,NA,NA,NA
-77700,79650,-11.73,NA,NA,NA,NA
-77750,79700,-11.77,NA,NA,NA,NA
-77800,79750,-11.97,NA,NA,NA,NA
-77850,79800,-11.66,NA,NA,NA,NA
-77900,79850,-11.25,NA,NA,NA,NA
-77950,79900,-10.83,NA,NA,NA,NA
-78000,79950,-11.1,NA,NA,NA,NA
-78050,80000,-11.53,NA,NA,NA,NA
-78100,80050,-11.62,NA,NA,NA,NA
-78150,80100,-10.76,NA,NA,NA,NA
-78200,80150,-11.78,NA,NA,NA,NA
-78250,80200,-11.39,NA,NA,NA,NA
-78300,80250,-11.39,NA,NA,NA,NA
-78350,80300,-11.57,NA,NA,NA,NA
-78400,80350,-12.16,NA,NA,NA,NA
-78450,80400,-11.38,NA,NA,NA,NA
-78500,80450,-11.07,NA,NA,NA,NA
-78550,80500,-11.38,NA,NA,NA,NA
-78600,80550,-11.57,NA,NA,NA,NA
-78650,80600,-11.11,NA,NA,NA,NA
-78700,80650,-11.5,NA,NA,NA,NA
-78750,80700,-11.57,NA,NA,NA,NA
-78800,80750,-11.04,NA,NA,NA,NA
-78850,80800,-10.98,NA,NA,NA,NA
-78900,80850,-11.28,NA,NA,NA,NA
-78950,80900,-10.62,NA,NA,NA,NA
-79000,80950,-10.83,NA,NA,NA,NA
-79050,81000,-10.53,NA,NA,NA,NA
-79100,81050,-10.72,NA,NA,NA,NA
-79150,81100,-10.73,NA,NA,NA,NA
-79200,81150,-11.09,NA,NA,NA,NA
-79250,81200,-10.56,NA,NA,NA,NA
-79300,81250,-10.54,NA,NA,NA,NA
-79350,81300,-11.53,NA,NA,NA,NA
-79400,81350,-11.68,NA,NA,NA,NA
-79450,81400,-11.39,NA,NA,NA,NA
-79500,81450,-11.18,NA,NA,NA,NA
-79550,81500,-11.51,NA,NA,NA,NA
-79600,81550,-11.45,NA,NA,NA,NA
-79650,81600,-10.91,NA,NA,NA,NA
-79700,81650,-11.64,NA,NA,NA,NA
-79750,81700,-11.66,NA,NA,NA,NA
-79800,81750,-11.65,NA,NA,NA,NA
-79850,81800,-11.12,NA,NA,NA,NA
-79900,81850,-11.62,NA,NA,NA,NA
-79950,81900,-12.19,NA,NA,NA,NA
-80000,81950,-10.98,NA,NA,NA,NA
-80050,82000,-11.33,NA,NA,NA,NA
-80100,82050,-11.44,NA,NA,NA,NA
-80150,82100,-10.88,NA,NA,NA,NA
-80200,82150,-10.75,NA,NA,NA,NA
-80250,82200,-11.01,NA,NA,NA,NA
-80300,82250,-11.3,NA,NA,NA,NA
-80350,82300,-11.29,NA,NA,NA,NA
-80400,82350,-11.28,NA,NA,NA,NA
-80450,82400,-11.45,NA,NA,NA,NA
-80500,82450,-11.67,NA,NA,NA,NA
-80550,82500,-11.6,NA,NA,NA,NA
-80600,82550,-11.87,NA,NA,NA,NA
-80650,82600,-11.67,NA,NA,NA,NA
-80700,82650,-11.56,NA,NA,NA,NA
-80750,82700,-11.42,NA,NA,NA,NA
-80800,82750,-11.42,NA,NA,NA,NA
-80850,82800,-11.25,NA,NA,NA,NA
-80900,82850,-11.39,NA,NA,NA,NA
-80950,82900,-11.58,NA,NA,NA,NA
-81000,82950,-11.76,NA,NA,NA,NA
-81050,83000,-11.39,NA,NA,NA,NA
-81100,83050,-11.79,NA,NA,NA,NA
-81150,83100,-11.56,NA,NA,NA,NA
-81200,83150,-11.61,NA,NA,NA,NA
-81250,83200,-11.36,NA,NA,NA,NA
-81300,83250,-11.41,NA,NA,NA,NA
-81350,83300,-11.29,NA,NA,NA,NA
-81400,83350,-11.65,NA,NA,NA,NA
-81450,83400,-11.51,NA,NA,NA,NA
-81500,83450,-11.71,NA,NA,NA,NA
-81550,83500,-11.69,NA,NA,NA,NA
-81600,83550,-11.76,NA,NA,NA,NA
-81650,83600,-11.82,NA,NA,NA,NA
-81700,83650,-11.93,NA,NA,NA,NA
-81750,83700,-12.06,NA,NA,NA,NA
-81800,83750,-11.95,NA,NA,NA,NA
-81850,83800,-11.74,NA,NA,NA,NA
-81900,83850,-11.72,NA,NA,NA,NA
-81950,83900,-11.82,NA,NA,NA,NA
-82000,83950,-11.8,NA,NA,NA,NA
-82050,84000,-11.67,NA,NA,NA,NA
-82100,84050,-11.57,NA,NA,NA,NA
-82150,84100,-11.5,NA,NA,NA,NA
-82200,84150,-11.43,NA,NA,NA,NA
-82250,84200,-11.33,NA,NA,NA,NA
-82300,84250,-11.29,NA,NA,NA,NA
-82350,84300,-11.4,NA,NA,NA,NA
-82400,84350,-11.51,NA,NA,NA,NA
-82450,84400,-11.63,NA,NA,NA,NA
-82500,84450,-11.74,NA,NA,NA,NA
-82550,84500,-11.77,NA,NA,NA,NA
-82600,84550,-11.8,NA,NA,NA,NA
-82650,84600,-11.71,NA,NA,NA,NA
-82700,84650,-11.62,NA,NA,NA,NA
-82750,84700,-11.64,NA,NA,NA,NA
-82800,84750,-11.68,NA,NA,NA,NA
-82850,84800,-11.64,NA,NA,NA,NA
-82900,84850,-11.59,NA,NA,NA,NA
-82950,84900,-11.58,NA,NA,NA,NA
-83000,84950,-11.6,NA,NA,NA,NA
-83050,85000,-11.53,NA,NA,NA,NA
-83100,85050,-11.43,NA,NA,NA,NA
-83150,85100,-11.33,NA,NA,NA,NA
-83200,85150,-11.25,NA,NA,NA,NA
-83250,85200,-11.18,NA,NA,NA,NA
-83300,85250,-11.13,NA,NA,NA,NA
-83350,85300,-11.22,NA,NA,NA,NA
-83400,85350,-11.5,NA,NA,NA,NA
-83450,85400,-11.7,NA,NA,NA,NA
-83500,85450,-11.76,NA,NA,NA,NA
-83550,85500,-11.77,NA,NA,NA,NA
-83600,85550,-11.63,NA,NA,NA,NA
-83650,85600,-11.54,NA,NA,NA,NA
-83700,85650,-11.7,NA,NA,NA,NA
-83750,85700,-11.86,NA,NA,NA,NA
-83800,85750,-12.04,NA,NA,NA,NA
-83850,85800,-12.23,NA,NA,NA,NA
-83900,85850,-12.33,NA,NA,NA,NA
-83950,85900,-12.43,NA,NA,NA,NA
-84000,85950,-12.49,NA,NA,NA,NA
-84050,86000,-12.55,NA,NA,NA,NA
-84100,86050,-12.55,NA,NA,NA,NA
-84150,86100,-12.53,NA,NA,NA,NA
-84200,86150,-12.56,NA,NA,NA,NA
-84250,86200,-12.6,NA,NA,NA,NA
-84300,86250,-12.61,NA,NA,NA,NA
-84350,86300,-12.6,NA,NA,NA,NA
-84400,86350,-12.49,NA,NA,NA,NA
-84450,86400,-12.3,NA,NA,NA,NA
-84500,86450,-12.19,NA,NA,NA,NA
-84550,86500,-12.18,NA,NA,NA,NA
-84600,86550,-12.15,NA,NA,NA,NA
-84650,86600,-12.1,NA,NA,NA,NA
-84700,86650,-12.08,NA,NA,NA,NA
-84750,86700,-12.14,NA,NA,NA,NA
-84800,86750,-12.23,NA,NA,NA,NA
-84850,86800,-12.4,NA,NA,NA,NA
-84900,86850,-12.58,NA,NA,NA,NA
-84950,86900,-12.75,NA,NA,NA,NA
-85000,86950,-12.92,NA,NA,NA,NA
-85050,87000,-12.82,NA,NA,NA,NA
-85100,87050,-12.72,NA,NA,NA,NA
-85150,87100,-12.58,NA,NA,NA,NA
-85200,87150,-12.44,NA,NA,NA,NA
-85250,87200,-12.34,NA,NA,NA,NA
-85300,87250,-12.24,NA,NA,NA,NA
-85350,87300,-12.29,NA,NA,NA,NA
-85400,87350,-12.37,NA,NA,NA,NA
-85450,87400,-12.55,NA,NA,NA,NA
-85500,87450,-12.78,NA,NA,NA,NA
-85550,87500,-12.86,NA,NA,NA,NA
-85600,87550,-12.85,NA,NA,NA,NA
-85650,87600,-12.77,NA,NA,NA,NA
-85700,87650,-12.63,NA,NA,NA,NA
-85750,87700,-12.61,NA,NA,NA,NA
-85800,87750,-12.73,NA,NA,NA,NA
-85850,87800,-12.86,NA,NA,NA,NA
-85900,87850,-13.02,NA,NA,NA,NA
-85950,87900,-13.12,NA,NA,NA,NA
-86000,87950,-13.11,NA,NA,NA,NA
-86050,88000,-13.1,NA,NA,NA,NA
-86100,88050,-13.15,NA,NA,NA,NA
-86150,88100,-13.18,NA,NA,NA,NA
-86200,88150,-13.11,NA,NA,NA,NA
-86250,88200,-13.03,NA,NA,NA,NA
-86300,88250,-12.96,NA,NA,NA,NA
-86350,88300,-12.89,NA,NA,NA,NA
-86400,88350,-12.82,NA,NA,NA,NA
-86450,88400,-12.75,NA,NA,NA,NA
-86500,88450,-12.77,NA,NA,NA,NA
-86550,88500,-12.82,NA,NA,NA,NA
-86600,88550,-12.87,NA,NA,NA,NA
-86650,88600,-12.88,NA,NA,NA,NA
-86700,88650,-12.84,NA,NA,NA,NA
-86750,88700,-12.81,NA,NA,NA,NA
-86800,88750,-12.79,NA,NA,NA,NA
-86850,88800,-12.78,NA,NA,NA,NA
-86900,88850,-12.77,NA,NA,NA,NA
-86950,88900,-12.77,NA,NA,NA,NA
-87000,88950,-12.82,NA,NA,NA,NA
-87050,89000,-12.88,NA,NA,NA,NA
-87100,89050,-12.93,NA,NA,NA,NA
-87150,89100,-12.82,NA,NA,NA,NA
-87200,89150,-12.7,NA,NA,NA,NA
-87250,89200,-12.59,NA,NA,NA,NA
-87300,89250,-12.53,NA,NA,NA,NA
-87350,89300,-12.49,NA,NA,NA,NA
-87400,89350,-12.45,NA,NA,NA,NA
-87450,89400,-12.43,NA,NA,NA,NA
-87500,89450,-12.42,NA,NA,NA,NA
-87550,89500,-12.41,NA,NA,NA,NA
-87600,89550,-12.39,NA,NA,NA,NA
-87650,89600,-12.35,NA,NA,NA,NA
-87700,89650,-12.31,NA,NA,NA,NA
-87750,89700,-12.28,NA,NA,NA,NA
-87800,89750,-12.29,NA,NA,NA,NA
-87850,89800,-12.29,NA,NA,NA,NA
-87900,89850,-12.3,NA,NA,NA,NA
-87950,89900,-12.35,NA,NA,NA,NA
-88000,89950,-12.4,NA,NA,NA,NA
-88050,90000,-12.44,NA,NA,NA,NA
-88100,90050,-12.4,NA,NA,NA,NA
-88150,90100,-12.35,NA,NA,NA,NA
-88200,90150,-12.3,NA,NA,NA,NA
-88250,90200,-12.27,NA,NA,NA,NA
-88300,90250,-12.24,NA,NA,NA,NA
-88350,90300,-12.22,NA,NA,NA,NA
-88400,90350,-12.29,NA,NA,NA,NA
-88450,90400,-12.44,NA,NA,NA,NA
-88500,90450,-12.6,NA,NA,NA,NA
-88550,90500,-12.65,NA,NA,NA,NA
-88600,90550,-12.47,NA,NA,NA,NA
-88650,90600,-12.29,NA,NA,NA,NA
-88700,90650,-12.12,NA,NA,NA,NA
-88750,90700,-11.95,NA,NA,NA,NA
-88800,90750,-11.79,NA,NA,NA,NA
-88850,90800,-11.63,NA,NA,NA,NA
-88900,90850,-11.63,NA,NA,NA,NA
-88950,90900,-11.64,NA,NA,NA,NA
-89000,90950,-11.65,NA,NA,NA,NA
-89050,91000,-11.74,NA,NA,NA,NA
-89100,91050,-11.85,NA,NA,NA,NA
-89150,91100,-11.96,NA,NA,NA,NA
-89200,91150,-11.97,NA,NA,NA,NA
-89250,91200,-11.89,NA,NA,NA,NA
-89300,91250,-11.81,NA,NA,NA,NA
-89350,91300,-11.78,NA,NA,NA,NA
-89400,91350,-11.81,NA,NA,NA,NA
-89450,91400,-11.84,NA,NA,NA,NA
-89500,91450,-11.86,NA,NA,NA,NA
-89550,91500,-11.85,NA,NA,NA,NA
-89600,91550,-11.83,NA,NA,NA,NA
-89650,91600,-11.82,NA,NA,NA,NA
-89700,91650,-11.8,NA,NA,NA,NA
-89750,91700,-11.78,NA,NA,NA,NA
-89800,91750,-11.76,NA,NA,NA,NA
-89850,91800,-11.9,NA,NA,NA,NA
-89900,91850,-12.06,NA,NA,NA,NA
-89950,91900,-12.23,NA,NA,NA,NA
-90000,91950,-12.25,NA,NA,NA,NA
-90050,92000,-12.18,NA,NA,NA,NA
-90100,92050,-12.11,NA,NA,NA,NA
-90150,92100,-12.07,NA,NA,NA,NA
-90200,92150,-12.07,NA,NA,NA,NA
-90250,92200,-12.07,NA,NA,NA,NA
-90300,92250,-12.08,NA,NA,NA,NA
-90350,92300,-12.12,NA,NA,NA,NA
-90400,92350,-12.16,NA,NA,NA,NA
-90450,92400,-12.2,NA,NA,NA,NA
-90500,92450,-12.13,NA,NA,NA,NA
-90550,92500,-12.06,NA,NA,NA,NA
-90600,92550,-11.99,NA,NA,NA,NA
-90650,92600,-11.94,NA,NA,NA,NA
-90700,92650,-11.89,NA,NA,NA,NA
-90750,92700,-11.84,NA,NA,NA,NA
-90800,92750,-11.81,NA,NA,NA,NA
-90850,92800,-11.79,NA,NA,NA,NA
-90900,92850,-11.77,NA,NA,NA,NA
-90950,92900,-11.85,NA,NA,NA,NA
