Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),d18O (per mil),Mg_Ca (mmol/mol) [2-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],dD (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
3.67,-1490,196.5,26.01,-0.21,-2.45,NA,NA,NA,NA,NA,NA,NA
3.72,-1520,198.5,26.13,-0.37,-2.64,NA,NA,NA,NA,NA,NA,NA
3.86,-1550,200.5,26.54,-0.1,-2.46,NA,NA,NA,NA,NA,NA,NA
3.95,-1590,202.5,26.83,-0.04,-2.46,NA,NA,NA,NA,NA,NA,NA
4.14,-1620,204.5,27.33,-0.05,-2.57,NA,NA,NA,NA,NA,NA,NA
4.19,-1650,206.5,27.47,-0.15,-2.7,NA,NA,NA,NA,NA,NA,NA
3.94,-1690,208.5,26.8,0,-2.41,NA,NA,NA,NA,NA,NA,NA
3.8,-1720,210.5,26.38,-0.12,-2.45,NA,NA,NA,NA,NA,NA,NA
4,-1750,212.5,26.96,0.08,-2.36,NA,NA,NA,NA,NA,NA,NA
3.57,-1790,214.5,25.68,-0.35,-2.53,NA,NA,NA,NA,NA,NA,NA
3.6,-1820,216.5,25.79,-0.17,-2.37,NA,NA,NA,NA,NA,NA,NA
3.93,-1860,218.5,26.76,-0.22,-2.62,NA,NA,NA,NA,NA,NA,NA
3.95,-1890,220.5,26.81,-0.1,-2.51,NA,NA,NA,NA,NA,NA,NA
3.34,-1920,222.3,24.96,-0.55,-2.58,NA,NA,NA,NA,NA,NA,NA
3.65,-1960,224.5,25.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.22,-1990,226.5,24.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.03,-2030,228.5,27.03,-0.12,-2.58,NA,NA,NA,NA,NA,NA,NA
3.81,-2060,230.5,26.42,-0.07,-2.4,NA,NA,NA,NA,NA,NA,NA
3.73,-2100,232.5,26.18,-0.25,-2.53,NA,NA,NA,NA,NA,NA,NA
3.78,-2130,234.5,26.31,-0.22,-2.53,NA,NA,NA,NA,NA,NA,NA
4.08,-2160,236.5,27.18,0.12,-2.37,NA,NA,NA,NA,NA,NA,NA
4.16,-2200,238.5,27.38,0.08,-2.46,NA,NA,NA,NA,NA,NA,NA
4.16,-2230,240.5,27.4,0.01,-2.53,NA,NA,NA,NA,NA,NA,NA
3.84,-2270,242.5,26.5,-0.13,-2.48,NA,NA,NA,NA,NA,NA,NA
3.84,-2300,244.5,26.51,-0.3,-2.65,NA,NA,NA,NA,NA,NA,NA
4,-2340,246.5,26.96,-0.11,-2.56,NA,NA,NA,NA,NA,NA,NA
3.76,-2370,248.5,26.28,-0.78,-3.08,NA,NA,NA,NA,NA,NA,NA
4.39,-2410,250.5,27.99,0.08,-2.58,NA,NA,NA,NA,NA,NA,NA
3.44,-2440,252.5,25.28,-0.52,-2.62,NA,NA,NA,NA,NA,NA,NA
3.98,-2480,254.5,26.9,-0.2,-2.64,NA,NA,NA,NA,NA,NA,NA
3.83,-2510,256.5,26.48,-0.14,-2.48,NA,NA,NA,NA,NA,NA,NA
3.97,-2550,258.5,26.88,-0.25,-2.68,NA,NA,NA,NA,NA,NA,NA
3.96,-2580,260.5,26.85,-0.16,-2.59,NA,NA,NA,NA,NA,NA,NA
4.17,-2620,262.5,27.43,-0.25,-2.79,NA,NA,NA,NA,NA,NA,NA
3.69,-2650,264.5,26.07,-0.31,-2.58,NA,NA,NA,NA,NA,NA,NA
3.79,-2690,266.5,26.36,-0.32,-2.65,NA,NA,NA,NA,NA,NA,NA
3.89,-2720,268.5,26.64,-0.36,-2.73,NA,NA,NA,NA,NA,NA,NA
3.7,-2760,270.5,26.08,-0.4,-2.66,NA,NA,NA,NA,NA,NA,NA
3.69,-2790,272.5,26.06,-0.57,-2.82,NA,NA,NA,NA,NA,NA,NA
3.71,-2830,274.5,26.11,-0.5,-2.77,NA,NA,NA,NA,NA,NA,NA
3.95,-2870,276.5,26.82,-0.32,-2.73,NA,NA,NA,NA,NA,NA,NA
3.88,-2900,278.5,26.62,-0.2,-2.57,NA,NA,NA,NA,NA,NA,NA
3.74,-2940,280.5,26.22,-0.47,-2.76,NA,NA,NA,NA,NA,NA,NA
3.67,-2970,282.5,25.99,-0.48,-2.72,NA,NA,NA,NA,NA,NA,NA
4.23,-3010,284.5,27.58,-0.23,-2.81,NA,NA,NA,NA,NA,NA,NA
3.98,-3050,286.5,26.91,-0.18,-2.61,NA,NA,NA,NA,NA,NA,NA
3.57,-3080,288.5,25.69,-0.18,-2.36,NA,NA,NA,NA,NA,NA,NA
4.36,-3120,290.5,27.91,0.22,-2.42,NA,NA,NA,NA,NA,NA,NA
4.26,-3160,292.5,27.65,-0.19,-2.78,NA,NA,NA,NA,NA,NA,NA
4.08,-3190,294.5,27.18,-0.15,-2.64,NA,NA,NA,NA,NA,NA,NA
4.02,-3230,296.5,27.01,-0.2,-2.66,NA,NA,NA,NA,NA,NA,NA
4.27,-3270,298.5,27.69,-0.19,-2.78,NA,NA,NA,NA,NA,NA,NA
NA,-3300,300.5,NA,NA,-2.87,NA,NA,NA,NA,NA,NA,NA
4.07,-3340,302.5,27.15,-0.1,-2.58,NA,NA,NA,NA,NA,NA,NA
3.99,-3380,304.5,26.91,-0.34,-2.78,NA,NA,NA,NA,NA,NA,NA
4,-3420,306.5,26.95,-0.41,-2.85,NA,NA,NA,NA,NA,NA,NA
3.89,-3450,308.5,26.64,-0.43,-2.8,NA,NA,NA,NA,NA,NA,NA
4.04,-3490,310.5,27.08,-0.17,-2.64,NA,NA,NA,NA,NA,NA,NA
3.98,-3530,312.5,26.89,-0.56,-2.99,NA,NA,NA,NA,NA,NA,NA
3.94,-3570,314.5,26.79,-0.5,-2.91,NA,NA,NA,NA,NA,NA,NA
3.81,-3600,316.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.99,-3640,318.5,26.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.01,-3680,320.5,26.97,-0.8,-3.25,NA,NA,NA,NA,NA,NA,NA
3.98,-3720,322.5,26.89,-0.52,-2.96,NA,NA,NA,NA,NA,NA,NA
4,-3760,324.5,26.94,-0.46,-2.9,NA,NA,NA,NA,NA,NA,NA
3.94,-3800,326.5,26.77,-0.77,-3.17,NA,NA,NA,NA,NA,NA,NA
4.12,-3830,328.5,27.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.39,-3870,330.5,27.98,-0.21,-2.87,NA,NA,NA,NA,NA,NA,NA
3.67,-3910,332.5,25.99,-0.85,-3.09,NA,NA,NA,NA,NA,NA,NA
3.95,-3950,334.5,26.82,-0.39,-2.81,NA,NA,NA,NA,NA,NA,NA
3.98,-3990,336.5,26.9,-0.53,-2.96,NA,NA,NA,NA,NA,NA,NA
3.86,-4030,338.5,26.56,-0.73,-3.09,NA,NA,NA,NA,NA,NA,NA
3.84,-4070,340.5,26.51,-0.6,-2.95,NA,NA,NA,NA,NA,NA,NA
NA,-4110,342.5,NA,NA,-2.96,NA,NA,NA,NA,NA,NA,NA
4.11,-4150,344.5,27.25,-0.76,-3.26,NA,NA,NA,NA,NA,NA,NA
4,-4190,346.5,26.94,-0.64,-3.08,NA,NA,NA,NA,NA,NA,NA
4.05,-4230,348.5,27.08,-0.22,-2.69,NA,NA,NA,NA,NA,NA,NA
3.97,-4270,350.5,26.87,-0.33,-2.75,NA,NA,NA,NA,NA,NA,NA
4.11,-4310,352.5,27.26,-0.37,-2.88,NA,NA,NA,NA,NA,NA,NA
3.86,-4350,354.5,26.55,-0.48,-2.84,NA,NA,NA,NA,NA,NA,NA
4.16,-4390,356.5,27.4,-0.43,-2.96,NA,NA,NA,NA,NA,NA,NA
3.88,-4430,358.5,26.61,-0.33,-2.7,NA,NA,NA,NA,NA,NA,NA
4.02,-4470,360.5,27,-0.66,-3.11,NA,NA,NA,NA,NA,NA,NA
3.69,-4510,362.5,26.07,-0.77,-3.03,NA,NA,NA,NA,NA,NA,NA
4.16,-4550,364.5,27.38,-0.5,-3.03,NA,NA,NA,NA,NA,NA,NA
4.08,-4590,366.5,27.17,-0.77,-3.26,NA,NA,NA,NA,NA,NA,NA
4.11,-4630,368.5,27.27,-0.42,-2.93,NA,NA,NA,NA,NA,NA,NA
4.07,-4680,370.5,27.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.23,-4720,372.5,27.58,-0.63,-3.2,NA,NA,NA,NA,NA,NA,NA
4.17,-4760,374.5,27.41,-0.48,-3.02,NA,NA,NA,NA,NA,NA,NA
3.99,-4800,376.5,26.93,-0.53,-2.97,NA,NA,NA,NA,NA,NA,NA
4.37,-4840,378.5,27.94,-0.41,-3.06,NA,NA,NA,NA,NA,NA,NA
4,-4890,380.5,26.94,-0.68,-3.12,NA,NA,NA,NA,NA,NA,NA
3.69,-4930,382.5,26.06,-0.87,-3.13,NA,NA,NA,NA,NA,NA,NA
3.9,-4970,384.5,26.68,-0.61,-2.99,NA,NA,NA,NA,NA,NA,NA
3.86,-5010,386.5,26.57,-0.75,-3.11,NA,NA,NA,NA,NA,NA,NA
3.65,-5060,388.5,25.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.12,-5100,390.5,27.28,-0.52,-3.03,NA,NA,NA,NA,NA,NA,NA
4.03,-5140,392.5,27.04,-0.45,-2.91,NA,NA,NA,NA,NA,NA,NA
3.95,-5190,394.5,26.82,-0.51,-2.93,NA,NA,NA,NA,NA,NA,NA
4.35,-5230,396.5,27.88,-0.17,-2.81,NA,NA,NA,NA,NA,NA,NA
4.14,-5270,398.5,27.35,-0.42,-2.95,NA,NA,NA,NA,NA,NA,NA
3.97,-5320,400.5,26.87,-0.58,-3,NA,NA,NA,NA,NA,NA,NA
4.04,-5360,402.5,27.06,-0.4,-2.87,NA,NA,NA,NA,NA,NA,NA
4.06,-5410,404.5,27.13,-0.47,-2.95,NA,NA,NA,NA,NA,NA,NA
3.7,-5540,410.5,26.1,-0.69,-2.96,NA,NA,NA,NA,NA,NA,NA
4.05,-5580,412.5,27.08,-0.81,-3.28,NA,NA,NA,NA,NA,NA,NA
3.95,-5630,414.5,26.83,-0.71,-3.13,NA,NA,NA,NA,NA,NA,NA
3.81,-5680,416.5,26.42,-0.65,-2.99,NA,NA,NA,NA,NA,NA,NA
3.94,-5720,418.5,26.78,-0.64,-3.05,NA,NA,NA,NA,NA,NA,NA
4.03,-5770,420.5,27.04,-0.46,-2.92,NA,NA,NA,NA,NA,NA,NA
3.87,-5810,422.5,26.6,-0.6,-2.97,NA,NA,NA,NA,NA,NA,NA
3.95,-5860,424.5,26.83,-0.34,-2.76,NA,NA,NA,NA,NA,NA,NA
3.94,-5910,426.5,26.78,-0.52,-2.93,NA,NA,NA,NA,NA,NA,NA
4.08,-5950,428.5,27.17,-0.45,-2.94,NA,NA,NA,NA,NA,NA,NA
4.12,-6000,430.5,27.27,-0.44,-2.95,NA,NA,NA,NA,NA,NA,NA
4.11,-6050,432.5,27.24,-0.54,-3.04,NA,NA,NA,NA,NA,NA,NA
4.06,-6090,434.5,27.11,-0.39,-2.87,NA,NA,NA,NA,NA,NA,NA
4.21,-6140,436.5,27.52,-0.66,-3.22,NA,NA,NA,NA,NA,NA,NA
3.88,-6190,438.5,26.62,-0.62,-3,NA,NA,NA,NA,NA,NA,NA
3.86,-6230,440.5,26.57,-0.57,-2.94,NA,NA,NA,NA,NA,NA,NA
3.45,-6280,442.5,25.31,-0.87,-2.97,NA,NA,NA,NA,NA,NA,NA
3.66,-6330,444.5,25.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.04,-6380,446.5,27.08,-0.34,-2.81,NA,NA,NA,NA,NA,NA,NA
4.03,-6430,448.5,27.04,-0.59,-3.05,NA,NA,NA,NA,NA,NA,NA
4.4,-6480,450.5,28.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.33,-6520,452.5,27.85,-0.6,-3.23,NA,NA,NA,NA,NA,NA,NA
3.97,-6570,454.5,26.88,-0.42,-2.85,NA,NA,NA,NA,NA,NA,NA
4.45,-6620,456.5,28.13,-0.16,-2.85,NA,NA,NA,NA,NA,NA,NA
4.45,-6670,458.5,28.14,-0.27,-2.96,NA,NA,NA,NA,NA,NA,NA
4.44,-6720,460.5,28.11,0.09,-2.59,NA,NA,NA,NA,NA,NA,NA
4.27,-6770,462.5,27.68,-0.62,-3.22,NA,NA,NA,NA,NA,NA,NA
4.38,-6820,464.5,27.97,-0.17,-2.82,NA,NA,NA,NA,NA,NA,NA
3.91,-6870,466.5,26.69,-0.64,-3.03,NA,NA,NA,NA,NA,NA,NA
4.72,-6920,468.5,28.8,-0.19,-3.02,NA,NA,NA,NA,NA,NA,NA
3.95,-6970,470.5,26.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.31,-7020,472.5,27.77,-0.35,-2.96,NA,NA,NA,NA,NA,NA,NA
4.36,-7080,474.5,27.92,-0.29,-2.93,NA,NA,NA,NA,NA,NA,NA
3.75,-7130,476.5,26.24,-0.67,-2.96,NA,NA,NA,NA,NA,NA,NA
3.92,-7180,478.5,26.74,-0.5,-2.9,NA,NA,NA,NA,NA,NA,NA
NA,-7230,480.5,NA,0,-2.93,NA,NA,NA,NA,NA,NA,NA
4.17,-7280,482.5,27.41,-0.6,-3.14,NA,NA,NA,NA,NA,NA,NA
3.94,-7340,484.5,26.79,-0.34,-2.75,NA,NA,NA,NA,NA,NA,NA
3.9,-7390,486.5,26.67,-0.85,-3.24,NA,NA,NA,NA,NA,NA,NA
4.01,-7440,488.5,27,-0.28,-2.73,NA,NA,NA,NA,NA,NA,NA
4.23,-7490,490.5,27.57,-0.42,-3,NA,NA,NA,NA,NA,NA,NA
4.12,-7550,492.5,27.28,-0.6,-3.11,NA,NA,NA,NA,NA,NA,NA
4.28,-7600,494.5,27.7,-0.33,-2.93,NA,NA,NA,NA,NA,NA,NA
3.88,-7650,496.5,26.61,-0.66,-3.03,NA,NA,NA,NA,NA,NA,NA
3.94,-7710,498.5,26.78,-0.42,-2.82,NA,NA,NA,NA,NA,NA,NA
4.26,-7760,500.5,27.66,-0.28,-2.87,NA,NA,NA,NA,NA,NA,NA
4.49,-7820,502.5,28.23,-0.16,-2.87,NA,NA,NA,NA,NA,NA,NA
3.9,-7870,504.5,26.67,-0.44,-2.82,NA,NA,NA,NA,NA,NA,NA
3.89,-7930,506.5,26.63,-0.39,-2.76,NA,NA,NA,NA,NA,NA,NA
3.94,-7980,508.5,26.8,-0.49,-2.9,NA,NA,NA,NA,NA,NA,NA
4.18,-8040,510.5,27.45,-0.06,-2.6,NA,NA,NA,NA,NA,NA,NA
3.71,-8090,512.5,26.12,-0.49,-2.76,NA,NA,NA,NA,NA,NA,NA
3.87,-8150,514.5,26.58,-0.52,-2.89,NA,NA,NA,NA,NA,NA,NA
4.55,-8210,516.5,28.39,0.81,-1.93,NA,NA,NA,NA,NA,NA,NA
3.93,-8260,518.5,26.75,0.16,-2.25,NA,NA,NA,NA,NA,NA,NA
3.99,-8320,520.5,26.94,-0.65,-3.09,NA,NA,NA,NA,NA,NA,NA
3.94,-8380,522.5,26.78,-0.45,-2.86,NA,NA,NA,NA,NA,NA,NA
3.94,-8430,524.5,26.8,-0.27,-2.68,NA,NA,NA,NA,NA,NA,NA
3.84,-8490,526.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.14,-8550,528.5,27.34,-0.09,-2.62,NA,NA,NA,NA,NA,NA,NA
4.45,-8610,530.5,28.14,-0.03,-2.72,NA,NA,NA,NA,NA,NA,NA
4.12,-8660,532.5,27.29,-0.42,-2.94,NA,NA,NA,NA,NA,NA,NA
4.04,-8720,534.5,27.06,-0.42,-2.89,NA,NA,NA,NA,NA,NA,NA
3.99,-8780,536.5,26.94,-0.35,-2.79,NA,NA,NA,NA,NA,NA,NA
3.99,-8840,538.5,26.93,-0.34,-2.78,NA,NA,NA,NA,NA,NA,NA
3.67,-8900,540.5,26.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.7,-8960,542.5,26.08,-0.62,-2.88,NA,NA,NA,NA,NA,NA,NA
4.06,-9020,544.5,27.13,-0.15,-2.64,NA,NA,NA,NA,NA,NA,NA
4.32,-9080,546.5,27.8,0.06,-2.56,NA,NA,NA,NA,NA,NA,NA
4.04,-9140,548.5,27.05,0.01,-2.46,NA,NA,NA,NA,NA,NA,NA
4.03,-9200,550.5,27.04,-0.07,-2.53,NA,NA,NA,NA,NA,NA,NA
3.82,-9260,552.5,26.44,-0.14,-2.48,NA,NA,NA,NA,NA,NA,NA
3.69,-9320,554.5,26.07,-0.04,-2.3,NA,NA,NA,NA,NA,NA,NA
4,-9380,556.5,26.96,-0.09,-2.53,NA,NA,NA,NA,NA,NA,NA
3.82,-9450,558.5,26.44,-0.11,-2.45,NA,NA,NA,NA,NA,NA,NA
3.68,-9510,560.5,26.03,0.05,-2.2,NA,NA,NA,NA,NA,NA,NA
3.69,-9570,562.5,26.05,0.28,-1.97,NA,NA,NA,NA,NA,NA,NA
3.63,-9630,564.5,25.88,0.21,-2.01,NA,NA,NA,NA,NA,NA,NA
3.76,-9700,566.5,26.28,0.2,-2.1,NA,NA,NA,NA,NA,NA,NA
3.77,-9760,568.5,26.31,0.76,-1.55,NA,NA,NA,NA,NA,NA,NA
3.9,-9820,570.5,26.68,0.77,-1.62,NA,NA,NA,NA,NA,NA,NA
3.8,-9890,572.5,26.39,0.73,-1.59,NA,NA,NA,NA,NA,NA,NA
3.72,-9950,574.5,26.14,0.58,-1.69,NA,NA,NA,NA,NA,NA,NA
3.71,-10010,576.5,26.1,0.62,-1.65,NA,NA,NA,NA,NA,NA,NA
3.62,-10080,578.5,25.83,0.69,-1.52,NA,NA,NA,NA,NA,NA,NA
3.61,-10140,580.5,25.8,0.98,-1.22,NA,NA,NA,NA,NA,NA,NA
3.78,-10210,582.5,26.33,0.48,-1.84,NA,NA,NA,NA,NA,NA,NA
3.78,-10270,584.5,26.31,1.11,-1.2,NA,NA,NA,NA,NA,NA,NA
3.66,-10340,586.5,25.98,0.86,-1.38,NA,NA,NA,NA,NA,NA,NA
3.6,-10410,588.5,25.8,0.43,-1.77,NA,NA,NA,NA,NA,NA,NA
3.7,-10470,590.5,26.09,0.43,-1.84,NA,NA,NA,NA,NA,NA,NA
3.95,-10540,592.5,26.82,0.82,-1.59,NA,NA,NA,NA,NA,NA,NA
3.68,-10610,594.5,26.02,0.84,-1.41,NA,NA,NA,NA,NA,NA,NA
3.57,-10670,596.5,25.68,0.57,-1.61,NA,NA,NA,NA,NA,NA,NA
3.74,-10740,598.5,26.2,0.72,-1.56,NA,NA,NA,NA,NA,NA,NA
NA,-10810,600.5,NA,NA,-1.48,NA,NA,NA,NA,NA,NA,NA
3.4,-10980,605.5,25.16,0.42,-1.65,NA,NA,NA,NA,NA,NA,NA
3.49,-11150,610.5,25.44,0.59,-1.54,NA,NA,NA,NA,NA,NA,NA
3.57,-11330,615.5,25.71,0.23,-1.95,NA,NA,NA,NA,NA,NA,NA
