year (AD),depth (cm),year (AD),year (AD),d18O (permil),d18O (permil)
1973.83,NA,1973.83,1973.83,-4.3591,-4.3591
1973.67,NA,1973.67,1973.67,-4.3944,-4.3944
1973.5,NA,1973.5,1973.5,-4.4215,-4.4215
1973.33,NA,1973.33,1973.33,-4.6487,-4.6487
1973.17,NA,1973.17,1973.17,-4.999,-4.999
1973,NA,1973,1973,-5.1011,-5.1011
1972.83,NA,1972.83,1972.83,-5.0569,-5.0569
1972.67,NA,1972.67,1972.67,-4.8575,-4.8575
1972.5,NA,1972.5,1972.5,-4.7089,-4.7089
1972.33,NA,1972.33,1972.33,-4.6706,-4.6706
1972.17,NA,1972.17,1972.17,-4.6149,-4.6149
1972,NA,1972,1972,-4.526,-4.526
1971.83,NA,1971.83,1971.83,-4.5027,-4.5027
1971.67,NA,1971.67,1971.67,-4.5343,-4.5343
1971.5,NA,1971.5,1971.5,-4.5155,-4.5155
1971.33,NA,1971.33,1971.33,-4.3672,-4.3672
1971.17,NA,1971.17,1971.17,-4.3103,-4.3103
1971,NA,1971,1971,-4.2916,-4.2916
1970.83,NA,1970.83,1970.83,-4.3277,-4.3277
1970.67,NA,1970.67,1970.67,-4.3751,-4.3751
1970.5,NA,1970.5,1970.5,-4.4278,-4.4278
1970.33,NA,1970.33,1970.33,-4.4516,-4.4516
1970.17,NA,1970.17,1970.17,-4.448,-4.448
1970,NA,1970,1970,-4.4206,-4.4206
1969.83,NA,1969.83,1969.83,-4.4843,-4.4843
1969.67,NA,1969.67,1969.67,-4.6003,-4.6003
1969.5,NA,1969.5,1969.5,-4.6217,-4.6217
1969.33,NA,1969.33,1969.33,-4.6543,-4.6543
1969.17,NA,1969.17,1969.17,-4.7723,-4.7723
1969,NA,1969,1969,-4.637,-4.637
1968.83,NA,1968.83,1968.83,-4.468,-4.468
1968.67,NA,1968.67,1968.67,-4.4149,-4.4149
1968.5,NA,1968.5,1968.5,-4.4425,-4.4425
1968.33,NA,1968.33,1968.33,-4.5044,-4.5044
1968.17,NA,1968.17,1968.17,-4.5699,-4.5699
1968,NA,1968,1968,-4.5735,-4.5735
1967.83,NA,1967.83,1967.83,-4.4526,-4.4526
1967.67,NA,1967.67,1967.67,-4.4115,-4.4115
1967.5,NA,1967.5,1967.5,-4.4248,-4.4248
1967.33,NA,1967.33,1967.33,-4.4372,-4.4372
1967.17,NA,1967.17,1967.17,-4.4155,-4.4155
1967,NA,1967,1967,-4.417,-4.417
1966.83,NA,1966.83,1966.83,-4.5421,-4.5421
1966.67,NA,1966.67,1966.67,-4.5596,-4.5596
1966.5,NA,1966.5,1966.5,-4.5582,-4.5582
1966.33,NA,1966.33,1966.33,-4.5934,-4.5934
1966.17,NA,1966.17,1966.17,-4.7768,-4.7768
1966,NA,1966,1966,-4.9925,-4.9925
1965.83,NA,1965.83,1965.83,-5.0725,-5.0725
1965.67,NA,1965.67,1965.67,-4.9367,-4.9367
1965.5,NA,1965.5,1965.5,-4.6668,-4.6668
1965.33,NA,1965.33,1965.33,-4.5476,-4.5476
1965.17,NA,1965.17,1965.17,-4.5268,-4.5268
1965,NA,1965,1965,-4.5139,-4.5139
1964.83,NA,1964.83,1964.83,-4.3991,-4.3991
1964.67,NA,1964.67,1964.67,-4.2989,-4.2989
1964.5,NA,1964.5,1964.5,-4.2182,-4.2182
1964.33,NA,1964.33,1964.33,-4.354,-4.354
1964.17,NA,1964.17,1964.17,-4.466,-4.466
1964,NA,1964,1964,-4.5184,-4.5184
1963.83,NA,1963.83,1963.83,-4.4608,-4.4608
1963.67,NA,1963.67,1963.67,-4.3839,-4.3839
1963.5,NA,1963.5,1963.5,-4.3174,-4.3174
1963.33,NA,1963.33,1963.33,-4.2885,-4.2885
1963.17,NA,1963.17,1963.17,-4.227,-4.227
1963,NA,1963,1963,-4.2094,-4.2094
1962.83,NA,1962.83,1962.83,-4.3099,-4.3099
1962.67,NA,1962.67,1962.67,-4.381,-4.381
1962.5,NA,1962.5,1962.5,-4.4425,-4.4425
1962.33,NA,1962.33,1962.33,-4.3932,-4.3932
1962.17,NA,1962.17,1962.17,-4.3409,-4.3409
1962,NA,1962,1962,-4.3274,-4.3274
1961.83,NA,1961.83,1961.83,-4.4466,-4.4466
1961.67,NA,1961.67,1961.67,-4.5494,-4.5494
1961.5,NA,1961.5,1961.5,-4.5363,-4.5363
1961.33,NA,1961.33,1961.33,-4.5777,-4.5777
1961.17,NA,1961.17,1961.17,-4.5815,-4.5815
1961,NA,1961,1961,-4.3197,-4.3197
1960.83,NA,1960.83,1960.83,-4.3563,-4.3563
1960.67,NA,1960.67,1960.67,-4.3745,-4.3745
1960.5,NA,1960.5,1960.5,-4.3792,-4.3792
1960.33,NA,1960.33,1960.33,-4.3763,-4.3763
1960.17,NA,1960.17,1960.17,-4.3732,-4.3732
1960,NA,1960,1960,-4.372,-4.372
1959.83,NA,1959.83,1959.83,-4.361,-4.361
1959.67,NA,1959.67,1959.67,-4.3359,-4.3359
1959.5,NA,1959.5,1959.5,-4.3371,-4.3371
1959.33,NA,1959.33,1959.33,-4.4668,-4.4668
1959.17,NA,1959.17,1959.17,-4.6117,-4.6117
1959,NA,1959,1959,-4.6307,-4.6307
1958.83,NA,1958.83,1958.83,-4.533,-4.533
1958.67,NA,1958.67,1958.67,-4.4895,-4.4895
1958.5,NA,1958.5,1958.5,-4.5575,-4.5575
1958.33,NA,1958.33,1958.33,-4.6139,-4.6139
1958.17,NA,1958.17,1958.17,-4.7011,-4.7011
1958,NA,1958,1958,-4.6866,-4.6866
1957.83,NA,1957.83,1957.83,-4.622,-4.622
1957.67,NA,1957.67,1957.67,-4.5569,-4.5569
1957.5,NA,1957.5,1957.5,-4.5067,-4.5067
1957.33,NA,1957.33,1957.33,-4.4313,-4.4313
1957.17,NA,1957.17,1957.17,-4.3707,-4.3707
1957,NA,1957,1957,-4.3473,-4.3473
1956.83,NA,1956.83,1956.83,-4.3382,-4.3382
1956.67,NA,1956.67,1956.67,-4.328,-4.328
1956.5,NA,1956.5,1956.5,-4.2942,-4.2942
1956.33,NA,1956.33,1956.33,-4.2847,-4.2847
1956.17,NA,1956.17,1956.17,-4.2305,-4.2305
1956,NA,1956,1956,-4.1914,-4.1914
1955.83,NA,1955.83,1955.83,-4.2892,-4.2892
1955.67,NA,1955.67,1955.67,-4.3311,-4.3311
1955.5,NA,1955.5,1955.5,-4.4084,-4.4084
1955.33,NA,1955.33,1955.33,-4.3688,-4.3688
1955.17,NA,1955.17,1955.17,-4.313,-4.313
1955,NA,1955,1955,-4.3189,-4.3189
1954.83,NA,1954.83,1954.83,-4.3812,-4.3812
1954.67,NA,1954.67,1954.67,-4.4342,-4.4342
1954.5,NA,1954.5,1954.5,-4.4549,-4.4549
1954.33,NA,1954.33,1954.33,-4.4674,-4.4674
1954.17,NA,1954.17,1954.17,-4.5084,-4.5084
1954,NA,1954,1954,-4.5838,-4.5838
1953.83,NA,1953.83,1953.83,-4.6534,-4.6534
1953.67,NA,1953.67,1953.67,-4.6624,-4.6624
1953.5,NA,1953.5,1953.5,-4.5502,-4.5502
1953.33,NA,1953.33,1953.33,-4.5118,-4.5118
1953.17,NA,1953.17,1953.17,-4.619,-4.619
1953,NA,1953,1953,-4.6338,-4.6338
1952.83,NA,1952.83,1952.83,-4.4415,-4.4415
1952.67,NA,1952.67,1952.67,-4.4069,-4.4069
1952.5,NA,1952.5,1952.5,-4.38,-4.38
1952.33,NA,1952.33,1952.33,-4.4596,-4.4596
1952.17,NA,1952.17,1952.17,-4.5925,-4.5925
1952,NA,1952,1952,-4.6903,-4.6903
1951.83,NA,1951.83,1951.83,-4.7031,-4.7031
1951.67,NA,1951.67,1951.67,-4.7188,-4.7188
1951.5,NA,1951.5,1951.5,-4.6062,-4.6062
1951.33,NA,1951.33,1951.33,-4.5058,-4.5058
1951.17,NA,1951.17,1951.17,-4.4591,-4.4591
1951,NA,1951,1951,-4.4598,-4.4598
1950.83,NA,1950.83,1950.83,-4.4011,-4.4011
1950.67,NA,1950.67,1950.67,-4.3784,-4.3784
1950.5,NA,1950.5,1950.5,-4.3484,-4.3484
1950.33,NA,1950.33,1950.33,-4.3321,-4.3321
1950.17,NA,1950.17,1950.17,-4.3078,-4.3078
1950,NA,1950,1950,-4.3685,-4.3685
1949.83,NA,1949.83,1949.83,-4.4557,-4.4557
1949.67,NA,1949.67,1949.67,-4.502,-4.502
1949.5,NA,1949.5,1949.5,-4.5132,-4.5132
1949.33,NA,1949.33,1949.33,-4.5178,-4.5178
1949.17,NA,1949.17,1949.17,-4.53,-4.53
1949,NA,1949,1949,-4.6083,-4.6083
1948.83,NA,1948.83,1948.83,-4.5102,-4.5102
1948.67,NA,1948.67,1948.67,-4.505,-4.505
1948.5,NA,1948.5,1948.5,-4.7295,-4.7295
1948.33,NA,1948.33,1948.33,-4.786,-4.786
1948.17,NA,1948.17,1948.17,-4.718,-4.718
1948,NA,1948,1948,-4.5219,-4.5219
1947.83,NA,1947.83,1947.83,-4.4574,-4.4574
1947.67,NA,1947.67,1947.67,-4.3684,-4.3684
1947.5,NA,1947.5,1947.5,-4.466,-4.466
1947.33,NA,1947.33,1947.33,-4.5115,-4.5115
1947.17,NA,1947.17,1947.17,-4.5612,-4.5612
1947,NA,1947,1947,-4.6044,-4.6044
1946.83,NA,1946.83,1946.83,-4.5131,-4.5131
1946.67,NA,1946.67,1946.67,-4.4697,-4.4697
1946.5,NA,1946.5,1946.5,-4.4363,-4.4363
1946.33,NA,1946.33,1946.33,-4.4305,-4.4305
1946.17,NA,1946.17,1946.17,-4.4163,-4.4163
1946,NA,1946,1946,-4.3231,-4.3231
1945.83,NA,1945.83,1945.83,-4.2804,-4.2804
1945.67,NA,1945.67,1945.67,-4.4045,-4.4045
1945.5,NA,1945.5,1945.5,-4.4169,-4.4169
1945.33,NA,1945.33,1945.33,-4.4312,-4.4312
1945.17,NA,1945.17,1945.17,-4.393,-4.393
1945,NA,1945,1945,-4.2989,-4.2989
1944.83,NA,1944.83,1944.83,-4.286,-4.286
1944.67,NA,1944.67,1944.67,-4.2294,-4.2294
1944.5,NA,1944.5,1944.5,-4.2542,-4.2542
1944.33,NA,1944.33,1944.33,-4.3215,-4.3215
1944.17,NA,1944.17,1944.17,-4.3547,-4.3547
1944,NA,1944,1944,-4.2814,-4.2814
1943.83,NA,1943.83,1943.83,-4.1991,-4.1991
1943.67,NA,1943.67,1943.67,-4.155,-4.155
1943.5,NA,1943.5,1943.5,-4.176,-4.176
1943.33,NA,1943.33,1943.33,-4.1969,-4.1969
1943.17,NA,1943.17,1943.17,-4.2157,-4.2157
1943,NA,1943,1943,-4.2262,-4.2262
1942.83,NA,1942.83,1942.83,-4.2291,-4.2291
1942.67,NA,1942.67,1942.67,-4.2411,-4.2411
1942.5,NA,1942.5,1942.5,-4.2813,-4.2813
1942.33,NA,1942.33,1942.33,-4.3326,-4.3326
1942.17,NA,1942.17,1942.17,-4.3993,-4.3993
1942,NA,1942,1942,-4.4896,-4.4896
1941.83,NA,1941.83,1941.83,-4.5887,-4.5887
1941.67,NA,1941.67,1941.67,-4.6279,-4.6279
1941.5,NA,1941.5,1941.5,-4.5745,-4.5745
1941.33,NA,1941.33,1941.33,-4.5567,-4.5567
1941.17,NA,1941.17,1941.17,-4.6813,-4.6813
1941,NA,1941,1941,-4.7511,-4.7511
1940.83,NA,1940.83,1940.83,-4.7642,-4.7642
1940.67,NA,1940.67,1940.67,-4.7797,-4.7797
1940.5,NA,1940.5,1940.5,-4.8209,-4.8209
1940.33,NA,1940.33,1940.33,-4.8446,-4.8446
1940.17,NA,1940.17,1940.17,-4.7445,-4.7445
1940,NA,1940,1940,-4.5072,-4.5072
1939.83,NA,1939.83,1939.83,-4.4639,-4.4639
1939.67,NA,1939.67,1939.67,-4.4599,-4.4599
1939.5,NA,1939.5,1939.5,-4.4433,-4.4433
1939.33,NA,1939.33,1939.33,-4.4389,-4.4389
1939.17,NA,1939.17,1939.17,-4.4365,-4.4365
1939,NA,1939,1939,-4.4107,-4.4107
1938.83,NA,1938.83,1938.83,-4.3778,-4.3778
1938.67,NA,1938.67,1938.67,-4.3971,-4.3971
1938.5,NA,1938.5,1938.5,-4.3623,-4.3623
1938.33,NA,1938.33,1938.33,-4.3053,-4.3053
1938.17,NA,1938.17,1938.17,-4.276,-4.276
1938,NA,1938,1938,-4.3183,-4.3183
1937.83,NA,1937.83,1937.83,-4.4138,-4.4138
1937.67,NA,1937.67,1937.67,-4.4389,-4.4389
1937.5,NA,1937.5,1937.5,-4.4171,-4.4171
1937.33,NA,1937.33,1937.33,-4.4073,-4.4073
1937.17,NA,1937.17,1937.17,-4.4239,-4.4239
1937,NA,1937,1937,-4.4632,-4.4632
1936.83,NA,1936.83,1936.83,-4.4819,-4.4819
1936.67,NA,1936.67,1936.67,-4.4903,-4.4903
1936.5,NA,1936.5,1936.5,-4.4788,-4.4788
1936.33,NA,1936.33,1936.33,-4.4575,-4.4575
1936.17,NA,1936.17,1936.17,-4.4545,-4.4545
1936,NA,1936,1936,-4.4668,-4.4668
1935.83,NA,1935.83,1935.83,-4.46,-4.46
1935.67,NA,1935.67,1935.67,-4.4071,-4.4071
1935.5,NA,1935.5,1935.5,-4.3848,-4.3848
1935.33,NA,1935.33,1935.33,-4.3925,-4.3925
1935.17,NA,1935.17,1935.17,-4.4174,-4.4174
1935,NA,1935,1935,-4.4256,-4.4256
1934.83,NA,1934.83,1934.83,-4.422,-4.422
1934.67,NA,1934.67,1934.67,-4.4181,-4.4181
1934.5,NA,1934.5,1934.5,-4.4112,-4.4112
1934.33,NA,1934.33,1934.33,-4.3882,-4.3882
1934.17,NA,1934.17,1934.17,-4.3155,-4.3155
1934,NA,1934,1934,-4.2092,-4.2092
1933.83,NA,1933.83,1933.83,-4.2702,-4.2702
1933.67,NA,1933.67,1933.67,-4.291,-4.291
1933.5,NA,1933.5,1933.5,-4.2918,-4.2918
1933.33,NA,1933.33,1933.33,-4.3614,-4.3614
1933.17,NA,1933.17,1933.17,-4.3764,-4.3764
1933,NA,1933,1933,-4.3901,-4.3901
1932.83,NA,1932.83,1932.83,-4.4113,-4.4113
1932.67,NA,1932.67,1932.67,-4.3517,-4.3517
1932.5,NA,1932.5,1932.5,-4.3433,-4.3433
1932.33,NA,1932.33,1932.33,-4.3698,-4.3698
1932.17,NA,1932.17,1932.17,-4.3485,-4.3485
1932,NA,1932,1932,-4.2831,-4.2831
1931.83,NA,1931.83,1931.83,-4.3201,-4.3201
1931.67,NA,1931.67,1931.67,-4.3213,-4.3213
1931.5,NA,1931.5,1931.5,-4.3932,-4.3932
1931.33,NA,1931.33,1931.33,-4.4864,-4.4864
1931.17,NA,1931.17,1931.17,-4.5953,-4.5953
1931,NA,1931,1931,-4.7032,-4.7032
1930.83,NA,1930.83,1930.83,-4.7473,-4.7473
1930.67,NA,1930.67,1930.67,-4.6559,-4.6559
1930.5,NA,1930.5,1930.5,-4.4806,-4.4806
1930.33,NA,1930.33,1930.33,-4.4977,-4.4977
1930.17,NA,1930.17,1930.17,-4.6223,-4.6223
1930,NA,1930,1930,-4.6785,-4.6785
1929.83,NA,1929.83,1929.83,-4.5532,-4.5532
1929.67,NA,1929.67,1929.67,-4.4929,-4.4929
1929.5,NA,1929.5,1929.5,-4.4104,-4.4104
1929.33,NA,1929.33,1929.33,-4.3449,-4.3449
1929.17,NA,1929.17,1929.17,-4.3443,-4.3443
1929,NA,1929,1929,-4.3613,-4.3613
1928.83,NA,1928.83,1928.83,-4.3786,-4.3786
1928.67,NA,1928.67,1928.67,-4.3623,-4.3623
1928.5,NA,1928.5,1928.5,-4.3475,-4.3475
1928.33,NA,1928.33,1928.33,-4.3257,-4.3257
1928.17,NA,1928.17,1928.17,-4.3597,-4.3597
1928,NA,1928,1928,-4.4884,-4.4884
1927.83,NA,1927.83,1927.83,-4.3893,-4.3893
1927.67,NA,1927.67,1927.67,-4.3967,-4.3967
1927.5,NA,1927.5,1927.5,-4.3631,-4.3631
1927.33,NA,1927.33,1927.33,-4.2088,-4.2088
1927.17,NA,1927.17,1927.17,-4.218,-4.218
1927,NA,1927,1927,-4.3176,-4.3176
1926.83,NA,1926.83,1926.83,-4.3875,-4.3875
1926.67,NA,1926.67,1926.67,-4.4486,-4.4486
1926.5,NA,1926.5,1926.5,-4.5126,-4.5126
1926.33,NA,1926.33,1926.33,-4.6409,-4.6409
1926.17,NA,1926.17,1926.17,-4.8344,-4.8344
1926,NA,1926,1926,-4.7854,-4.7854
1925.83,NA,1925.83,1925.83,-4.7312,-4.7312
1925.67,NA,1925.67,1925.67,-4.6591,-4.6591
1925.5,NA,1925.5,1925.5,-4.5807,-4.5807
1925.33,NA,1925.33,1925.33,-4.509,-4.509
1925.17,NA,1925.17,1925.17,-4.4455,-4.4455
1925,NA,1925,1925,-4.4306,-4.4306
1924.83,NA,1924.83,1924.83,-4.5022,-4.5022
1924.67,NA,1924.67,1924.67,-4.3982,-4.3982
1924.5,NA,1924.5,1924.5,-4.3393,-4.3393
1924.33,NA,1924.33,1924.33,-4.4088,-4.4088
1924.17,NA,1924.17,1924.17,-4.5522,-4.5522
1924,NA,1924,1924,-4.7046,-4.7046
1923.83,NA,1923.83,1923.83,-4.6432,-4.6432
1923.67,NA,1923.67,1923.67,-4.5219,-4.5219
1923.5,NA,1923.5,1923.5,-4.4526,-4.4526
1923.33,NA,1923.33,1923.33,-4.4001,-4.4001
1923.17,NA,1923.17,1923.17,-4.3663,-4.3663
1923,NA,1923,1923,-4.3661,-4.3661
1922.83,NA,1922.83,1922.83,-4.4198,-4.4198
1922.67,NA,1922.67,1922.67,-4.4615,-4.4615
1922.5,NA,1922.5,1922.5,-4.4458,-4.4458
1922.33,NA,1922.33,1922.33,-4.4774,-4.4774
1922.17,NA,1922.17,1922.17,-4.4741,-4.4741
1922,NA,1922,1922,-4.4779,-4.4779
1921.83,NA,1921.83,1921.83,-4.4836,-4.4836
1921.67,NA,1921.67,1921.67,-4.4464,-4.4464
1921.5,NA,1921.5,1921.5,-4.3754,-4.3754
1921.33,NA,1921.33,1921.33,-4.2766,-4.2766
1921.17,NA,1921.17,1921.17,-4.3327,-4.3327
1921,NA,1921,1921,-4.3979,-4.3979
1920.83,NA,1920.83,1920.83,-4.4643,-4.4643
1920.67,NA,1920.67,1920.67,-4.5177,-4.5177
1920.5,NA,1920.5,1920.5,-4.5412,-4.5412
1920.33,NA,1920.33,1920.33,-4.5233,-4.5233
1920.17,NA,1920.17,1920.17,-4.519,-4.519
1920,NA,1920,1920,-4.6761,-4.6761
1919.83,NA,1919.83,1919.83,-4.8885,-4.8885
1919.67,NA,1919.67,1919.67,-4.9125,-4.9125
1919.5,NA,1919.5,1919.5,-4.6552,-4.6552
1919.33,NA,1919.33,1919.33,-4.785,-4.785
1919.17,NA,1919.17,1919.17,-4.9461,-4.9461
1919,NA,1919,1919,-4.9551,-4.9551
1918.83,NA,1918.83,1918.83,-4.9642,-4.9642
1918.67,NA,1918.67,1918.67,-4.9149,-4.9149
1918.5,NA,1918.5,1918.5,-4.6624,-4.6624
1918.33,NA,1918.33,1918.33,-4.41,-4.41
1918.17,NA,1918.17,1918.17,-4.4096,-4.4096
1918,NA,1918,1918,-4.3915,-4.3915
1917.83,NA,1917.83,1917.83,-4.3432,-4.3432
1917.67,NA,1917.67,1917.67,-4.2631,-4.2631
1917.5,NA,1917.5,1917.5,-4.1842,-4.1842
1917.33,NA,1917.33,1917.33,-4.133,-4.133
1917.17,NA,1917.17,1917.17,-4.1003,-4.1003
1917,NA,1917,1917,-4.0816,-4.0816
1916.83,NA,1916.83,1916.83,-4.1013,-4.1013
1916.67,NA,1916.67,1916.67,-4.1943,-4.1943
1916.5,NA,1916.5,1916.5,-4.2956,-4.2956
1916.33,NA,1916.33,1916.33,-4.343,-4.343
1916.17,NA,1916.17,1916.17,-4.3333,-4.3333
1916,NA,1916,1916,-4.3395,-4.3395
1915.83,NA,1915.83,1915.83,-4.3878,-4.3878
1915.67,NA,1915.67,1915.67,-4.4892,-4.4892
1915.5,NA,1915.5,1915.5,-4.6359,-4.6359
1915.33,NA,1915.33,1915.33,-4.7746,-4.7746
1915.17,NA,1915.17,1915.17,-4.8531,-4.8531
1915,NA,1915,1915,-4.7998,-4.7998
1914.83,NA,1914.83,1914.83,-4.782,-4.782
1914.67,NA,1914.67,1914.67,-4.8768,-4.8768
1914.5,NA,1914.5,1914.5,-4.8883,-4.8883
1914.33,NA,1914.33,1914.33,-4.856,-4.856
1914.17,NA,1914.17,1914.17,-4.7336,-4.7336
1914,NA,1914,1914,-4.6037,-4.6037
