year (AD),d18O (permil)
1990.838,-34.9189231
1986.873,-35.35900365
1982.559,-36.6965592
1977.919,-35.0761441
1972.973,-34.9706568
1967.739,-37.2753131
1962.234,-33.818111
1956.4735,-33.8858349
1950.47217,-35.1174737
1944.2433,-35.3170125
1937.799,-36.3352827
1931.152,-38.2466737
1924.311,-36.1012683
1917.287,-36.8532479
1910.09,-35.3006379
1902.728,-36.399698
1895.209,-36.020519
1887.215,-35.9753542
1878.891,-36.6845696
1870.604,-36.6096254
1862.356,-35.8862272
1854.117,-36.0558884
1845.89,-37.5666258
1837.67,-37.3829331
1829.48,-35.9469284
1821.37,-35.2056930666667
1813.53,-35.8384162
1805.57,-36.3665789
1797.08,-35.1212136666667
1788.35,-37.9976854
1779.49,-36.5198481
1770.56,-36.5681258
1761.58,-36.0300756
1752.43,-35.7344294
1743.05,-36.6332538
1733.57,-36.2412144
1724.1,-35.4585837
1714.66,-37.4203914
1705.31,-36.4942195
1696.05,-36.18069125
1686.89,-35.433658
1677.74,-36.79063075
1668.47,-36.483226
1659.09,-36.13280825
1649.68,-36.48869025
1640.45,-35.45014825
1631.54,-37.06242055
1622.67,-37.84
1612.14,-35.9317060333333
1601.4,-35.93372865
1590.73,-37.1083278666667
1580.16,-36.5165096666667
1569.67,-36.7011812333333
1559.26,-35.1138393666667
1548.91,-36.7905118666667
1538.63,-37.6669434666667
1528.39,-37.3226371
1518.17,-36.240222
1507.95,-38.6603373
1497.66,-35.4918295
1487.24,-36.4487552
1476.52,-36.3606924
1465.27,-37.3336109
1453.67,-38.2836426
1442.37,-36.2238531
1431.41,-35.9003568
1420.69,-35.0125849
1410.16,-36.5911154
1399.77,-36.0292898
1389.49,-36.3738516
1379.29,-37.0381595
1369.17,-35.7005093
1359.11,-37.0139362
1349.1,-35.7130738
1339.13,-36.14725945
1329.27,-36.2649637
1319.54,-36.88832035
1309.9,-36.084667
1300.26,-35.93579935
1290.47,-36.335812
1280.41,-36.7656146
1270.23,-36.72655375
1256.43,-35.6944231
1244.39,-36.15857455
1232.34,-36.552742
1220.1,-36.5869054
1207.69,-36.8075344
1195.27,-35.62267
1183.27,-35.729692
1171.51,-36.4505475
1159.74,-36.11288
1147.99,-37.35824735
1136.24,-36.1944217
1124.51,-36.5060593666667
1112.78,-34.6547187
1101.06,-35.85697835
1089.35,-35.66834165
1077.65,-37.66342535
1065.96,-35.33719065
1054.28,-36.1327436
1042.61,-34.6660118333333
1030.95,-36.70330985
1019.29,-36.8262978
1007.64,-36.00828435
996.01,-36.6338575
984.38,-37.10805145
972.75,-36.34899185
961.14,-34.97649515
949.5,-36.2109962
937.9,-37.0752056
926.3,-36.0135742
914.8,-36.1363985
903.2,-36.5766135
891.6,-36.9856115
880,-36.8748281
868.5,-36.2002802
856.9,-35.7657136
845.3,-36.56312
833.8,-37.3995562
822.2,-36.2228937
810.6,-35.150434
798.9,-37.014192
787.2,-36.0888364
775.4,-35.4941419
763.2,-36.1533866
750.1,-36.2704439333333
736.5,-36.0812342
722.6,-36.2846437
708.7,-35.6674197
695,-35.48147305
682.1,-35.3434758
669.6,-37.31587305
657.5,-36.4079956
645.6,-36.9192556
633.9,-36.54229155
622.5,-36.92074515
611.3,-35.8555621
600.2,-36.2407163333333
589.4,-36.8081324
578.8,-35.537855
568.4,-36.24588525
557.7,-33.56044555
544.6,-35.89267835
530.8,-35.4118825
516.9,-36.289241
503.1,-36.25876485
489.4,-37.87479965
475.8,-36.53054215
462.3,-36.231001
448.9,-35.66436025
435.6,-35.90442025
422.4,-35.18423525
409.3,-36.3610335
396.2,-36.79163875
383.2,-35.425801
370.1,-35.32022525
357,-35.5481447
343.8,-37.7123904
330.6,-36.54653005
317.3,-36.10477975
304,-36.07846225
290.7,-36.86966275
277.3,-36.30051825
263.9,-34.6242088333333
250.3,-35.4957442333333
236.5,-34.8088691
222.7,-36.2997652
208.8,-36.7303307333333
195.1,-36.4154793
181.5,-36.9465141666667
168.1,-35.5486460333333
154.8,-35.1471458666667
141.7,-34.3706451
128.6,-35.9654496
115.7,-35.4125211666667
102.7,-36.0599161666667
89.7,-36.4717875
76.5999999999999,-35.336543
63.2,-34.6467535
49.0999999999999,-36.22064895
34.4000000000001,-35.4807211
19.2,-37.0903515
4.29999999999995,-36.4110768
